battle_id,true_label,pred_label
53,1,0
77,1,0
96,1,0
157,1,0
197,1,0
227,1,0
680,1,0
724,1,0
728,1,0
768,1,0
780,1,0
783,1,0
785,1,0
790,1,0
800,1,0
835,1,0
839,1,0
854,1,0
865,1,0
906,1,0
959,1,0
1204,1,0
1302,1,0
1321,1,0
1348,1,0
1368,1,0
1446,1,0
1564,1,0
1614,1,0
1664,1,0
1677,1,0
1766,1,0
1792,1,0
2011,1,0
2017,1,0
2053,1,0
2063,1,0
2100,1,0
2151,1,0
2158,1,0
2163,1,0
2240,1,0
2316,1,0
2360,1,0
2469,1,0
2612,1,0
2618,1,0
2640,1,0
2704,1,0
2741,1,0
2754,1,0
2760,1,0
2920,1,0
2932,1,0
2958,1,0
3013,1,0
3049,1,0
3170,1,0
3255,1,0
3273,1,0
3319,1,0
3361,1,0
3386,1,0
3387,1,0
3435,1,0
3484,1,0
3535,1,0
3633,1,0
3670,1,0
3689,1,0
3704,1,0
3801,1,0
3868,1,0
3874,1,0
4005,1,0
4010,1,0
4150,1,0
4192,1,0
4200,1,0
4216,1,0
4256,1,0
4278,1,0
4341,1,0
4429,1,0
4530,1,0
4597,1,0
4680,1,0
4723,1,0
4744,1,0
4838,1,0
4859,1,0
4873,1,0
4874,1,0
4885,1,0
4913,1,0
4954,1,0
5075,0,1
5105,0,1
5113,0,1
5248,0,1
5257,0,1
5328,0,1
5445,0,1
5460,0,1
5466,0,1
5519,0,1
5575,0,1
5679,0,1
5742,0,1
5748,0,1
5893,0,1
5896,0,1
5917,0,1
6008,0,1
6048,0,1
6199,0,1
6235,0,1
6275,0,1
6283,0,1
6317,0,1
6377,0,1
6379,0,1
6659,0,1
6678,0,1
6692,0,1
6696,0,1
6715,0,1
6847,0,1
6885,0,1
6899,0,1
7010,0,1
7132,0,1
7146,0,1
7162,0,1
7168,0,1
7211,0,1
7283,0,1
7323,0,1
7348,0,1
7383,0,1
7390,0,1
7415,0,1
7437,0,1
7533,0,1
7583,0,1
7598,0,1
7643,0,1
7655,0,1
7721,0,1
7723,0,1
7730,0,1
7817,0,1
7823,0,1
7912,0,1
7928,0,1
7935,0,1
7972,0,1
8023,0,1
8074,0,1
8084,0,1
8113,0,1
8131,0,1
8141,0,1
8146,0,1
8203,0,1
8248,0,1
8282,0,1
8384,0,1
8418,0,1
8447,0,1
8466,0,1
8486,0,1
8516,0,1
8566,0,1
8797,0,1
8837,0,1
8869,0,1
8888,0,1
8893,0,1
9014,0,1
9044,0,1
9100,0,1
9161,0,1
9237,0,1
9286,0,1
9339,0,1
9387,0,1
9433,0,1
9483,0,1
9628,0,1
9706,0,1
9791,0,1
9852,0,1
9891,0,1
9917,0,1
9949,0,1
9996,0,1
